1 Acquisitions    227508224
2 Acquisitions    18467519
3 Acquisitions    12375964
4 Acquisitions    8379663
5 Acquisitions    6690243
6 Acquisitions    6124495
7 Acquisitions    5951559
8 Acquisitions    5317462
9 Acquisitions    4818650
10 Acquisitions    4638226
11 Acquisitions    4110538
12 Acquisitions    3864314
13 Acquisitions    3504794
14 Acquisitions    3423961
15 Acquisitions    3453058
16 Acquisitions    3285396
17 Acquisitions    2848876
18 Acquisitions    2544014
19 Acquisitions    2691614
20 Acquisitions    2461524
21 Acquisitions    2308661
22 Acquisitions    2311979
23 Acquisitions    2210006
24 Acquisitions    2128397
25 Acquisitions    1948673
26 Acquisitions    1973093
27 Acquisitions    1751694
28 Acquisitions    1819299
29 Acquisitions    1736432
30 Acquisitions    1713297
31 Acquisitions    1618157
32 Acquisitions    1560807
33 Acquisitions    1509022
34 Acquisitions    1492606
35 Acquisitions    1409013
36 Acquisitions    1352840
37 Acquisitions    1327345
38 Acquisitions    1243905
39 Acquisitions    1322072
40 Acquisitions    1171721
41 Acquisitions    1137604
42 Acquisitions    1177251
43 Acquisitions    1107382
44 Acquisitions    1061226
45 Acquisitions    999750
46 Acquisitions    1028266
47 Acquisitions    1040663
48 Acquisitions    983376
49 Acquisitions    941023
50 Acquisitions    932254
51 Acquisitions    939293
52 Acquisitions    897992
53 Acquisitions    824142
54 Acquisitions    779595
55 Acquisitions    814441
56 Acquisitions    807892
57 Acquisitions    738559
58 Acquisitions    708473
59 Acquisitions    702014
60 Acquisitions    819311
61 Acquisitions    694601
62 Acquisitions    710404
63 Acquisitions    702130
64 Acquisitions    720917
65 Acquisitions    756161
66 Acquisitions    679138
67 Acquisitions    695450
68 Acquisitions    692799
69 Acquisitions    673419
70 Acquisitions    651370
71 Acquisitions    662703
72 Acquisitions    606008
73 Acquisitions    618406
74 Acquisitions    610216
75 Acquisitions    654340
76 Acquisitions    606789
77 Acquisitions    616516
78 Acquisitions    635609
79 Acquisitions    603477
80 Acquisitions    594332
81 Acquisitions    592562
82 Acquisitions    621083
83 Acquisitions    599623
84 Acquisitions    604671
85 Acquisitions    567495
86 Acquisitions    602758
87 Acquisitions    645694
88 Acquisitions    648892
89 Acquisitions    606759
90 Acquisitions    620043
91 Acquisitions    631844
92 Acquisitions    634677
93 Acquisitions    631377
94 Acquisitions    614568
95 Acquisitions    620239
96 Acquisitions    653571
97 Acquisitions    618315
98 Acquisitions    623977
99 Acquisitions    613741
100 Acquisitions    610200
101 Acquisitions    634191
102 Acquisitions    631215
103 Acquisitions    605569
104 Acquisitions    558026
105 Acquisitions    590561
106 Acquisitions    644144
107 Acquisitions    608242
108 Acquisitions    590247
109 Acquisitions    619494
110 Acquisitions    649104
111 Acquisitions    611902
112 Acquisitions    639719
113 Acquisitions    639762
114 Acquisitions    633072
115 Acquisitions    622809
116 Acquisitions    625359
117 Acquisitions    641745
118 Acquisitions    614898
119 Acquisitions    613587
120 Acquisitions    607300
121 Acquisitions    635905
122 Acquisitions    620297
123 Acquisitions    598535
124 Acquisitions    600084
125 Acquisitions    556772
126 Acquisitions    605144
127 Acquisitions    595225
128 Acquisitions    591519
129 Acquisitions    594291
130 Acquisitions    578548
131 Acquisitions    591097
132 Acquisitions    577373
133 Acquisitions    585844
134 Acquisitions    579349
135 Acquisitions    607890
136 Acquisitions    523148
137 Acquisitions    643700
138 Acquisitions    659624
139 Acquisitions    649476
140 Acquisitions    641673
141 Acquisitions    686057
142 Acquisitions    650070
143 Acquisitions    694807
144 Acquisitions    644896
