0 Acquisitions    256725758
1 Acquisitions    87757758
2 Acquisitions    42124717
3 Acquisitions    42185692
4 Acquisitions    27100179
5 Acquisitions    27909279
6 Acquisitions    19174825
7 Acquisitions    17912720
8 Acquisitions    15047750
9 Acquisitions    14532919
10 Acquisitions    11917873
11 Acquisitions    11346837
12 Acquisitions    10925178
13 Acquisitions    9396831
14 Acquisitions    10206129
15 Acquisitions    7814727
