0 Acquisitions    227824159
1 Acquisitions    115541983
2 Acquisitions    48995827
3 Acquisitions    48953944
4 Acquisitions    31355380
5 Acquisitions    30220477
6 Acquisitions    22310707
7 Acquisitions    23150252
8 Acquisitions    17997337
9 Acquisitions    18352593
10 Acquisitions    14999910
11 Acquisitions    15175677
12 Acquisitions    12583099
13 Acquisitions    12781868
14 Acquisitions    10302039
15 Acquisitions    10022385
16 Acquisitions    9007381
17 Acquisitions    8967472
18 Acquisitions    7515570
19 Acquisitions    7761712
20 Acquisitions    6577665
21 Acquisitions    6437188
22 Acquisitions    5801959
23 Acquisitions    5850687
24 Acquisitions    5141139
25 Acquisitions    5061530
26 Acquisitions    4635980
27 Acquisitions    4636680
28 Acquisitions    4235440
29 Acquisitions    4156569
30 Acquisitions    3856036
31 Acquisitions    3854005
32 Acquisitions    3739542
33 Acquisitions    3506343
34 Acquisitions    3554516
35 Acquisitions    3441370
36 Acquisitions    2210040
37 Acquisitions    3751330
38 Acquisitions    2914648
39 Acquisitions    4352672
40 Acquisitions    2568973
41 Acquisitions    2888763
42 Acquisitions    2849029
43 Acquisitions    2890477
44 Acquisitions    2569357
45 Acquisitions    2621221
46 Acquisitions    2549890
47 Acquisitions    2770096
48 Acquisitions    2526555
49 Acquisitions    2691830
50 Acquisitions    2528879
51 Acquisitions    2650530
52 Acquisitions    2215669
53 Acquisitions    2332890
54 Acquisitions    2326069
55 Acquisitions    2423303
56 Acquisitions    2221217
57 Acquisitions    2051997
58 Acquisitions    2044609
59 Acquisitions    1939600
60 Acquisitions    1966771
61 Acquisitions    1899625
62 Acquisitions    1827859
63 Acquisitions    1740717
64 Acquisitions    1593857
65 Acquisitions    1745088
66 Acquisitions    1562334
67 Acquisitions    1515967
68 Acquisitions    1630989
69 Acquisitions    1430316
70 Acquisitions    1366418
71 Acquisitions    1462929
72 Acquisitions    1147658
73 Acquisitions    2370977
74 Acquisitions    1491021
75 Acquisitions    1875531
76 Acquisitions    1387449
77 Acquisitions    1438434
78 Acquisitions    1427612
79 Acquisitions    1514354
80 Acquisitions    1341134
81 Acquisitions    1412887
82 Acquisitions    1384082
83 Acquisitions    1443408
84 Acquisitions    1342270
85 Acquisitions    1444587
86 Acquisitions    1358455
87 Acquisitions    1435421
88 Acquisitions    1318259
89 Acquisitions    1335289
90 Acquisitions    1249619
91 Acquisitions    1283389
92 Acquisitions    1160721
93 Acquisitions    1254262
94 Acquisitions    1149751
95 Acquisitions    1140475
96 Acquisitions    1085786
97 Acquisitions    1071529
98 Acquisitions    1078942
99 Acquisitions    1006447
100 Acquisitions    1053940
101 Acquisitions    1049803
102 Acquisitions    1001351
103 Acquisitions    969069
104 Acquisitions    970311
105 Acquisitions    919465
106 Acquisitions    894920
107 Acquisitions    886635
108 Acquisitions    798490
109 Acquisitions    1734219
110 Acquisitions    987966
111 Acquisitions    1247011
112 Acquisitions    927555
113 Acquisitions    1011212
114 Acquisitions    939829
115 Acquisitions    967783
116 Acquisitions    1030310
117 Acquisitions    1017223
118 Acquisitions    943958
119 Acquisitions    1011037
120 Acquisitions    967223
121 Acquisitions    968804
122 Acquisitions    941649
123 Acquisitions    948447
124 Acquisitions    928319
125 Acquisitions    944230
126 Acquisitions    898719
127 Acquisitions    864095
128 Acquisitions    858183
129 Acquisitions    808759
130 Acquisitions    795671
131 Acquisitions    795689
132 Acquisitions    798552
133 Acquisitions    801869
134 Acquisitions    806531
135 Acquisitions    715524
136 Acquisitions    701340
137 Acquisitions    699002
138 Acquisitions    683346
139 Acquisitions    728388
140 Acquisitions    711728
141 Acquisitions    657302
142 Acquisitions    695729
143 Acquisitions    660496
