62 66 64.25 1.231709 62 62 62 66 66 66 
88 48808 372.5938 1525.741 131.88 246 258 386 408 550.24 
64 178234 3842.702 10831.86 229.42 240 246 9936.2 21965.6 46578.06 
202 70334 1909.27 5556.469 216 228 234 1942 6633 33418.4 
68 147608 4879.589 9989.252 202.38 246 288 14519.2 24966.8 48213.24 
212 153082 4907.466 11974.71 236 256 364.6 12254.4 28338.7 60443.04 
66 341288 8842.678 24536.2 236 266 386 22565.6 54954.6 134662.9 
80 457646 8732.984 26759.96 231.82 264 392 20041.2 52578.8 133692.6 
68 774230 13404.03 42995.95 238 274 405 30284 84671.5 226517.7 
206 819774 13953.42 49897.91 234 302 484 16656.6 80995.9 264756.7 
214 1481142 19282.13 76803.7 234 252 334 8516.2 113360.1 396770.8 
192 2153404 20267.43 78260.06 238 268 404 12020.2 125806.6 389421.8 
68 1875042 27214.95 95097.23 248 386 512 50434.2 186380.7 460224.9 
190 1321874 27994.7 95698.88 242 400 608 53472 187516.5 513419.5 
220 2674914 37827.69 154822.9 254 390 651.8 10902.2 237639.2 816722.2 
218 2608940 42047.26 176296.8 254 480 758 10637.8 258322.7 919479.6 
218 4304820 48502.55 197650.7 260 436 695.4 14291.4 310441.8 971765.5 
212 2873400 52882.85 206260.1 276 492 838 19041 347437.9 1078582 
224 6133448 66767.99 297408.6 272 496 848 12693 372476.5 1605841 
216 6971882 68283.87 319061.5 278 574 1033.8 12104.8 382041.2 1632804 
226 9173620 86128.92 426105.1 288 582 966 13366.8 426086.6 2166906 
226 6969638 102450.9 473328.6 284 638 1178 14794 586450 2604500 
230 17417964 107847 592136.4 281.02 546 1010 14602.8 305505 3104053 
246 11225282 136161 630635.7 294 638 1231 16343 761195 3483332 
238 23831596 135791.1 729492.9 306 598 962 17076.2 413642 3765913 
236 14666898 157579.2 760594.3 322 696.3 1128.6 18807.8 772139.3 4183337 
240 19647678 209297.8 1006530 308 664 1068 21480.2 1200112 5428212 
238 14229684 200797.4 898294 320 710 1252 23379.8 1201079 4835201 
