54 72 61.14844 6.159293 54 54 54 68 68 72 
132 35184 517.3955 984.4153 180.94 399.4 456 494 498 960 
153 62490 2043.6 3511.172 162 171 177 5592 8093.4 14253.87 
147 100233 3077.244 6370.391 162 174 186 9849 15939 29434.05 
156 164697 5964.597 15880.03 168 183 195 19275.9 36284.55 83366.97 
153 1014003 17180.44 69129.33 168 183 195 11664 121669.8 337591.2 
153 5483580 55546.17 306526.8 171 195 267 1755.9 176526.7 1714505 
135 15061770 135933.5 820143 174 186 249 17967.9 294820 4005574 
156 12714072 196458 912476.2 177 189 255 147699 1068578 5257845 
162 29201166 282123.9 1275211 177 198 282 238553.4 1483251 6842715 
78 20815629 229316.2 1152754 183 270 351 216317.1 1023900 5665028 
153 23830452 245388.1 1140492 180 261 378 225291 1046449 6260644 
87 15748581 219789.1 959806.8 198 378 636 199416.6 1161802 5036590 
87 14097963 91222.43 519133.5 198 435 940.5 137268 233822.2 2254312 
177 630522 33224.76 59872.95 346.77 1332 1743 109452.3 160654.2 275894.5 
171 759183 38330.8 71605.36 1109.49 1596 1926 124384.2 188709.6 340288 
